Token	NER
mal	O
aisé	O
de	O
juger	O
entre	O
nous	O
?	O

C'	O
est	O
trop	O
c'	O
est	O
trop	O
languir	O
dans	O
cette	O
inquiétude	O
.	O

Tirez-nous	O
promptement	O
de	O
cette	O
incertitude	O
.	O

Que	O
puis-je	O
prononcer	O
,	O
alors	O
qu'	O
également	O
Je	O
me	O
trouve	O
surpris	O
entre	O
tant	O
de	O
merveilles	O
?	O

Le	O
prix	O
est	O
incertain	O
pour	O
des	O
beautés	O
pareilles	O
,	O
Et	O
cette	O
égalité	O
suspend	O
mon	O
jugement	O
.	O

Aussi	O
ne	O
voulant	O
pas	O
qu'	O
une	O
ait	O
tout	O
l'	O
avantage	O
,	O
Par	O
un	O
art	O
qui	O
vous	O
mêle	O
et	O
ne	O
vous	O
détruit	O
pas	O
,	O
Le	O
théâtre	O
aujourd'	O
hui	O
va	O
produire	O
un	O
ouvrage	O
;	O

Qui	O
doit	O
unir	O
tous	O
vos	O
appas	O
,	O
Et	O
sans	O
juger	O
sur	O
qui	O
doit	O
tomber	O
la	O
victoire	O
,	O
Par	O
un	O
mélange	O
heureux	O
confonde	O
votre	O
gloire	O
.	O

Vivez	O
sans	O
jalousie	O
et	O
n'	O
ayez	O
d'	O
autre	O
soin	O
Que	O
de	O
plaire	O
à	O
Louis	O
et	O
d'	O
avoir	O
son	O
suffrage	O
:	O
Travaillez	O
à	O
l'	O
envi	O
pour	O
ce	O
grand	O
avantage	O
;	O

Qu'	O
il	O
soit	O
de	O
vos	O
travaux	O
le	O
juge	O
et	O
le	O
témoin	O
.	O

Sur	O
ses	O
soins	O
généreux	O
tout	O
votre	O
espoir	O
se	O
fonde	O
;	O

Par	O
lui	O
vos	O
différents	O
cesseront	O
désormais	O
,	O
Et	O
pour	O
comble	O
de	O
ses	O
bienfaits	O
,	O
Son	O
équitable	O
arrêt	O
vous	O
va	O
donner	O
la	O
paix	O
,	O
Qu'	O
il	O
a	O
donnée	O
à	O
tout	O
le	O
monde	O
.	O

Tout	O
ce	O
qui	O
va	O
paraître	O
aux	O
yeux	O
de	O
ce	O
grand	O
Roi	O
,	O
Le	O
résoudra	O
bientôt	O
à	O
prononcer	O
pour	O
moi	O
.	O

Suspendez	O
votre	O
espoir	O
;	O

attendez	O
son	O
oracle	O
.	O

Cependant	O
faisons	O
place	O
à	O
ce	O
rare	O
spectacle	O
,	O
Venez-en	O
avec	O
moi	O
contempler	O
la	O
beauté	O
,	O
Et	O
prendre	O
votre	O
part	O
de	O
cette	O
nouveauté	O
.	O

Allez	O
et	O
flattez-vous	O
d'	O
un	O
bien	O
imaginaire	O
,	O
Ma	O
présence	O
en	O
ces	O
lieux	O
est	O
encore	O
nécessaire	O
.	O

Vous	O
spectacles	O
pompeux	O
venez	O
parler	O
pour	O
moi	O
.	O

Venez	O
justifier	O
l'	O
honneur	O
de	O
mon	O
emploi	O
.	O

Venez	O
me	O
seconder	O
,	O
vous	O
savantes	O
fureurs	O
;	O

Vous	O
,	O
qui	O
communiquez	O
ces	O
divines	O
chaleurs	O
,	O
Ces	O
glorieux	O
transports	O
;	O

dont	O
le	O
pouvoir	O
suprême	O
Peut	O
élever	O
l'	O
esprit	O
au-delà	O
de	O
lui-même	O
.	O

Voici	O
la	O
brillante	O
Déesse	O
,	O
Qui	O
vient	O
nous	O
annoncer	O
la	O
naissance	O
du	O
jour	O
.	O

Princesse	O
un	O
jeune	O
coeur	O
tout	O
enflammé	O
d'	O
amour	O
,	O
Peut-il	O
avoir	O
tant	O
de	O
paresse	O
?	O

La	O
grand	O
maître	O
des	O
Dieux	O
presse	O
votre	O
réveil	O
;	O

Il	O
languit	O
en	O
secret	O
d'	O
un	O
amoureux	O
martyre	O
.	O

Le	O
repos	O
vous	O
sied	O
mal	O
quand	O
Jupiter	O
soupire	O
,	O
Et	O
l'	O
amour	O
est	O
un	O
Dieu	O
plus	O
doux	O
que	O
le	O
sommeil	O
.	O

Belles	O
heures	O
allez	O
éveiller	O
la	O
Princesse	O
;	O

La	O
douceur	O
de	O
vos	O
chants	O
peut	O
moins	O
que	O
sa	O
paresse	O
.	O

Montrez-lui	O
promptement	O
ce	O
spectacle	O
nouveau	O
.	O

Allez	O
sans	O
tardez	O
davantage	O
,	O
Et	O
que	O
l'	O
ombre	O
de	O
ce	O
rideau	O
Ne	O
lui	O
dérobe	O
plus	O
ma	O
voix	O
et	O
mon	O
visage	O
.	O

Quel	O
éclat	O
,	O
quelle	O
voix	O
force	O
agréablement	O
Un	O
repos	O
si	O
profond	O
,	O
in	O
sommeil	O
si	O
charmant	O
?	O

Princesse	O
nous	O
entrons	O
avec	O
cette	O
licence	O
Que	O
nous	O
donne	O
aujourd'	O
hui	O
le	O
souverain	O
des	O
Dieux	O
.	O

Par	O
son	O
divin	O
pouvoir	O
nous	O
pénétrons	O
ces	O
lieux	O
,	O
Où	O
la	O
discrétion	O
dérobe	O
sa	O
présence	O
.	O

Jupiter	O
sans	O
vous	O
voir	O
,	O
ne	O
peut	O
être	O
content	O
:	O
Dans	O
ce	O
parc	O
amoureux	O
,	O
en	O
ces	O
sombres	O
retraites	O
,	O
De	O
vos	O
premiers	O
soupirs	O
confidentes	O
discrètes	O
,	O
Sous	O
l'	O
habit	O
d'	O
un	O
berger	O
Jupiter	O
vous	O
attend	O
.	O

L'	O
image	O
d'	O
un	O
beau	O
songe	O
,	O
un	O
fantôme	O
agréable	O
Rend	O
envers	O
Jupiter	O
ma	O
paresse	O
excusable	O
;	O

Lui-même	O
était	O
l'	O
objet	O
d'	O
un	O
songe	O
si	O
charmant	O
.	O

Allez	O
belle	O
Déesse	O
avertir	O
mon	O
amant	O
,	O
Que	O
j'	O
aime	O
son	O
ardeur	O
,	O
et	O
son	O
impatience	O
:	O
Mais	O
aussi	O
dites-lui	O
qu'	O
il	O
faut	O
par	O
bienséance	O
,	O
Pour	O
sortir	O
du	O
palais	O
,	O
attendre	O
un	O
plus	O
grand	O
jour	O
,	O
Et	O
voler	O
malgré	O
moi	O
ce	O
temps	O
à	O
son	O
amour	O
.	O

Sémélé	O
je	O
ne	O
puis	O
paraître	O
davantage	O
:	O
Une	O
de	O
ces	O
Heures	O
pour	O
moi	O
,	O
Peut	O
aller	O
faire	O
ce	O
message	O
,	O
Le	O
grand	O
jour	O
qui	O
s'	O
avance	O
a	O
fini	O
mon	O
emploi	O
;	O

Je	O
dois	O
quitter	O
la	O
place	O
au	O
Dieu	O
de	O
la	O
lumière	O
,	O
Il	O
a	O
commencé	O
sa	O
carrière	O
.	O

Filles	O
de	O
Jupiter	O
témoins	O
de	O
ses	O
ardeurs	O
,	O
Vous	O
allez	O
satisfaire	O
à	O
son	O
impatience	O
;	O

Vous	O
pour	O
ce	O
grand	O
secret	O
gardez	O
bien	O
le	O
silence	O
,	O
Et	O
remontez	O
au	O
Ciel	O
pour	O
rejoindre	O
vos	O
soeurs	O
.	O

En	O
est-ce	O
assez	O
,	O
Dircé	O
,	O
pour	O
te	O
faire	O
connaître	O
L'	O
amour	O
,	O
qu'	O
au	O
coeur	O
d'	O
un	O
Dieu	O
mes	O
appas	O
ont	O
fait	O
naître	O
?	O

L'	O
Aurore	O
en	O
ma	O
faveur	O
viendrait-elle	O
en	O
ces	O
lieux	O
,	O
Sans	O
l'	O
ordre	O
de	O
ce	O
Dieu	O
,	O
qui	O
commande	O
les	O
Dieux	O
?	O

Non	O
,	O
je	O
n'	O
en	O
doute	O
plus	O
,	O
et	O
j'	O
en	O
tremble	O
,	O
Madame	O
.	O

Quoi	O
le	O
Prince	O
Alcméon	O
,	O
qui	O
régnait	O
dans	O
votre	O
âme	O
,	O
Ce	O
grand	O
Prince	O
d'	O
Argos	B-LOC
,	O
qui	O
depuis	O
si	O
longtemps	O
Vous	O
offre	O
sa	O
Couronne	O
et	O
des	O
voeux	O
si	O
constants	O
,	O
Va	O
perdre	O
tout	O
l'	O
espoir	O
de	O
son	O
amour	O
fidèle	O
?	O

J'	O
ai	O
cru	O
brûler	O
pour	O
lui	O
d'	O
une	O
flamme	O
immortelle	O
:	O
Mais	O
puis-je	O
garantir	O
un	O
feu	O
si	O
glorieux	O
Contre	O
l'	O
ordre	O
éternel	O
du	O
Destin	O
et	O
des	O
Dieux	O
?	O

Mais	O
le	O
Roi	O
qui	O
du	O
Prince	O
estime	O
l'	O
alliance	O
,	O
Et	O
voit	O
que	O
votre	O
coeur	O
penche	O
à	O
quelque	O
inconstance	O
,	O
Veut	O
,	O
sans	O
plus	O
différer	O
le	O
faire	O
votre	O
Époux	O
;	O

Vous	O
devez	O
obéir	O
ou	O
craindre	O
son	O
courroux	O
.	O

Ah	O
Dircé	O
,	O
son	O
courroux	O
ne	O
serait	O
pas	O
à	O
craindre	O
,	O
Si	O
pour	O
vaincre	O
un	O
pouvoir	O
,	O
qui	O
voudra	O
me	O
contraindre	O
,	O
J'	O
osais	O
lui	O
découvrir	O
la	O
glorieuse	O
ardeur	O
,	O
Que	O
le	O
grand	O
Jupiter	O
allume	O
dans	O
mon	O
coeur	O
:	O
Mais	O
l'	O
ordre	O
de	O
ce	O
Dieu	O
me	O
condamne	O
au	O
silence	O
.	O

Mais	O
l'	O
amour	O
de	O
ce	O
Dieu	O
fait	O
seul	O
votre	O
défense	O
:	O
Pour	O
vous	O
justifier	O
,	O
il	O
doit	O
paraître	O
au	O
jour	O
.	O

J'	O
obtiendrai	O
de	O
ce	O
Dieu	O
l'	O
aveu	O
de	O
son	O
amour	O
.	O

Aussi	O
bien	O
il	O
est	O
temps	O
que	O
son	O
rival	O
apprenne	O
Que	O
l'	O
ardeur	O
,	O
dont	O
je	O
brûle	O
est	O
fatale	O
à	O
la	O
sienne	O
,	O
Et	O
qu'	O
un	O
mortel	O
me	O
cède	O
à	O
ce	O
nouvel	O
amant	O
,	O
Puisqu'	O
enfin	O
c'	O
est	O
un	O
Dieu	O
qui	O
fait	O
mon	O
changement	O
.	O

De	O
cet	O
amant	O
plutôt	O
songez	O
à	O
vous	O
défaire	O
.	O

Se	O
défait-on	O
d'	O
un	O
Dieu	O
qui	O
fait	O
tout	O
pour	O
nous	O
plaire	O
?	O

Est-il	O
quelque	O
constance	O
,	O
est-il	O
quelque	O
devoir	O
,	O
Qui	O
puisse	O
résister	O
contre	O
tant	O
de	O
pouvoir	O
?	O

Si	O
tu	O
savais	O
l'	O
effet	O
de	O
ces	O
divines	O
flammes	O
,	O
Et	O
de	O
quel	O
air	O
un	O
Dieu	O
s'	O
introduit	O
dans	O
les	O
âmes	O
;	O

Ou	O
bien	O
si	O
tu	O
savais	O
combien	O
l'	O
amour	O
des	O
Dieux	O
Se	O
saisit	O
aisément	O
d'	O
un	O
coeur	O
ambitieux	O
;	O

Car	O
enfin	O
je	O
veux	O
bien	O
t'	O
avouer	O
ma	O
faiblesse	O
,	O
L'	O
orgueil	O
fait	O
dans	O
mon	O
coeur	O
autant	O
que	O
ma	O
tendresse	O
.	O

Vous	O
m'	O
avez	O
confié	O
le	O
nom	O
de	O
votre	O
amant	O
:	O
Contez-moi	O
votre	O
amour	O
et	O
son	O
commencement	O
.	O

Ah	O
!	O

Que	O
l'	O
amour	O
des	O
Dieux	O
est	O
fort	O
en	O
sa	O
naissance	O
!	O

Il	O
peut	O
tout	O
,	O
il	O
triomphe	O
au	O
moment	O
qu'	O
il	O
commence	O
.	O

J'	O
étais	O
dans	O
ce	O
beau	O
parc	O
où	O
Jupiter	O
m'	O
attend	O
,	O
Quand	O
au	O
milieu	O
des	O
airs	O
un	O
tumulte	O
éclatant	O
,	O
Du	O
côté	O
de	O
ce	O
bruit	O
me	O
fait	O
tourner	O
la	O
vue	O
.	O

À	O
mes	O
pieds	O
aussitôt	O
je	O
vois	O
fondre	O
une	O
nue	O
,	O
Qui	O
s'	O
étant	O
entr'	O
ouverte	O
offre	O
à	O
mon	O
oeil	O
charmé	O
Tous	O
les	O
appas	O
d'	O
un	O
Dieu	O
quand	O
il	O
veut	O
être	O
aimé	O
.	O

Sa	O
Majesté	O
d'	O
abord	O
trouble	O
toute	O
mon	O
âme	O
:	O
Puis	O
un	O
regard	O
mêlé	O
de	O
tendresse	O
et	O
de	O
flamme	O
,	O
Comme	O
un	O
brillant	O
amas	O
de	O
force	O
et	O
de	O
douceur	O
,	O
Me	O
lance	O
un	O
trait	O
de	O
feu	O
jusques	O
au	O
fond	O
du	O
coeur	O
.	O

Pour	O
mon	O
premier	O
amour	O
ma	O
raison	O
s'	O
intéresse	O
;	O

Mais	O
elle	O
le	O
défend	O
avec	O
tant	O
de	O
faiblesse	O
,	O
Que	O
dans	O
le	O
doux	O
penchant	O
de	O
cette	O
trahison	O
Mon	O
coeur	O
gagné	O
sans	O
peine	O
entraîne	O
ma	O
raison	O
.	O

Jupiter	O
qui	O
connaît	O
mon	O
désordre	O
et	O
sa	O
gloire	O
,	O
Par	O
la	O
parole	O
enfin	O
achève	O
sa	O
victoire	O
;	O

Il	O
me	O
flatte	O
,	O
il	O
me	O
loue	O
,	O
et	O
de	O
la	O
main	O
des	O
Dieux	O
Tu	O
sais	O
combien	O
pour	O
nous	O
l'	O
encens	O
est	O
précieux	O
.	O

Ce	O
Dieu	O
qui	O
sait	O
l'	O
orgueil	O
qui	O
suit	O
notre	O
faiblesse	O
,	O
Et	O
ce	O
que	O
peut	O
un	O
Dieu	O
qui	O
flatte	O
et	O
qui	O
caresse	O
,	O
Lui	O
qui	O
de	O
la	O
fierté	O
se	O
doit	O
faire	O
une	O
loi	O
,	O
Avare	O
des	O
douceurs	O
,	O
les	O
prodigue	O
pour	O
moi	O
.	O

Que	O
ne	O
puis-je	O
exprimer	O
la	O
douce	O
violence	O
Que	O
fit	O
à	O
mon	O
esprit	O
cette	O
tendre	O
éloquence	O
?	O

Je	O
dévore	O
aussitôt	O
avec	O
avidité	O
Ce	O
poison	O
de	O
mon	O
coeur	O
et	O
de	O
ma	O
liberté	O
:	O
Tous	O
mes	O
sens	O
éblouis	O
de	O
cet	O
amas	O
de	O
charmes	O
,	O
Contre	O
un	O
Dieu	O
,	O
sans	O
raison	O
,	O
sans	O
défense	O
et	O
sans	O
armes	O
,	O
Je	O
me	O
perds	O
,	O
je	O
m'	O
égare	O
au	O
milieu	O
d'	O
un	O
beau	O
jour	O
.	O

Et	O
n'	O
ai	O
des	O
mouvements	O
que	O
ceux	O
de	O
mon	O
amour	O
;	O

Je	O
ne	O
me	O
connais	O
plus	O
dans	O
ce	O
désordre	O
extrême	O
;	O

Je	O
ne	O
vois	O
ni	O
le	O
parc	O
,	O
ni	O
le	O
Dieu	O
,	O
ni	O
moi-même	O
:	O
Une	O
extase	O
amoureuse	O
,	O
un	O
doux	O
enchantement	O
...	O
Que	O
te	O
dirai-je	O
enfin	O
de	O
cet	O
heureux	O
moment	O
?	O

S'	O
il	O
fallait	O
t'	O
expliquer	O
tout	O
ce	O
que	O
j'	O
en	O
dois	O
croire	O
...	O
Mais	O
Jupiter	O
m'	O
attend	O
et	O
je	O
pers	O
la	O
mémoire	O
:	O
J'	O
en	O
dirai	O
davantage	O
un	O
jour	O
plus	O
à	O
loisir	O
.	O

Contentez	O
sur	O
un	O
point	O
mon	O
curieux	O
désir	O
,	O
Dites-moi	O
,	O
si	O
les	O
Dieux	O
aiment	O
comme	O
les	O
hommes	O
.	O

Quand	O
il	O
s'	O
agit	O
d'	O
aimer	O
,	O
ils	O
sont	O
ce	O
que	O
nous	O
sommes	O
.	O

Pour	O
être	O
plus	O
que	O
nous	O
aiment-ils	O
autrement	O
?	O

Ils	O
diffèrent	O
de	O
nous	O
en	O
ce	O
point	O
seulement	O
,	O
Qu'	O
un	O
Dieu	O
maître	O
de	O
tout	O
,	O
ainsi	O
que	O
de	O
lui-même	O
,	O
Se	O
fait	O
tout	O
ce	O
qu'	O
il	O
veut	O
,	O
pour	O
plaire	O
à	O
ce	O
qu'	O
il	O
aime	O
,	O
Et	O
peut	O
se	O
faire	O
un	O
coeur	O
,	O
plus	O
sensible	O
et	O
plus	O
doux	O
,	O
Et	O
plus	O
tendre	O
que	O
ceux	O
que	O
le	O
Ciel	O
fait	O
pour	O
nous	O
:	O
Mais	O
c'	O
est	O
trop	O
s'	O
arrêter	O
,	O
Jupiter	O
s'	O
en	O
offense	O
.	O

Au	O
moins	O
n'	O
abuse	O
pas	O
de	O
cette	O
confidence	O
,	O
Et	O
crains	O
de	O
mon	O
amant	O
le	O
souverain	O
pouvoir	O
.	O

Le	O
Prince	O
est	O
là	O
,	O
Madame	O
,	O
et	O
demande	O
à	O
vous	O
voir	O
.	O

Madame	O
pardonnez	O
à	O
mon	O
impatience	O
.	O

Quoi	O
,	O
Seigneur	O
,	O
si	O
matin	O
prendre	O
cette	O
licence	O
.	O

Par	O
un	O
doute	O
cruel	O
mon	O
coeur	O
est	O
si	O
pressé	O
,	O
Qu'	O
il	O
veut	O
savoir	O
le	O
coup	O
dont	O
il	O
est	O
menacé	O
:	O
Je	O
meurs	O
à	O
tout	O
moment	O
dans	O
cette	O
incertitude	O
,	O
Prenez	O
quelque	O
pitié	O
de	O
mon	O
inquiétude	O
;	O

De	O
grâce	O
apprenez-moi	O
quelle	O
ingrate	O
froideur	O
Change	O
l'	O
heureux	O
destin	O
de	O
ma	O
fidèle	O
ardeur	O
.	O

On	O
vient	O
de	O
m'	O
assurer	O
qu'	O
on	O
voit	O
naître	O
en	O
votre	O
âme	O
Le	O
remords	O
d'	O
un	O
adieu	O
favorable	O
à	O
ma	O
flamme	O
:	O
Depuis	O
que	O
mon	O
amour	O
me	O
retient	O
dans	O
ces	O
lieux	O
N'	O
ai-je	O
pas	O
fait	O
pour	O
vous	O
ce	O
qu'	O
on	O
fait	O
pour	O
les	O
Dieux	O
?	O

C'	O
est	O
de	O
vous	O
aussi	O
bien	O
que	O
du	O
Roi	O
votre	O
père	O
,	O
Que	O
j'	O
ai	O
reçu	O
l'	O
aveu	O
d'	O
une	O
flamme	O
si	O
chère	O
.	O

Ai-je	O
arraché	O
ce	O
coeur	O
?	O

Vous	O
me	O
l'	O
avez	O
donné	O
Ce	O
coeur	O
,	O
pour	O
qui	O
le	O
mien	O
eut	O
tout	O
abandonné	O
.	O

Que	O
si	O
pour	O
mériter	O
un	O
don	O
si	O
favorable	O
J'	O
ignore	O
l'	O
art	O
d'	O
aimer	O
,	O
et	O
de	O
se	O
rendre	O
aimable	O
,	O
Au	O
moins	O
j'	O
ai	O
dans	O
mon	O
coeur	O
,	O
de	O
quoi	O
vous	O
enflammer	O
,	O
Si	O
pour	O
se	O
rendre	O
aimable	O
il	O
ne	O
fallait	O
qu'	O
aimer	O
.	O

Les	O
plus	O
profonds	O
respects	O
,	O
la	O
plus	O
forte	O
tendresse	O
...	O
Mais	O
je	O
vous	O
parle	O
en	O
vain	O
infidèle	O
Princesse	O
;	O

Au	O
désordre	O
inquiet	O
,	O
qui	O
trouble	O
vos	O
appas	O
,	O
Ingrate	O
je	O
vois	O
bien	O
qu'	O
on	O
ne	O
m'	O
écoute	O
pas	O
.	O

Que	O
me	O
sert	O
d'	O
écouter	O
n'	O
ayant	O
rien	O
à	O
répondre	O
?	O

Vos	O
reproches	O
sans	O
doute	O
ont	O
de	O
quoi	O
me	O
confondre	O
;	O

Je	O
ne	O
puis	O
le	O
nier	O
,	O
je	O
vous	O
aimai	O
Seigneur	O
,	O
Cependant	O
...	O
Achevez	O
,	O
dites-moi	O
quel	O
malheur	O
,	O
Quel	O
rival	O
me	O
dérobe	O
une	O
amitié	O
si	O
tendre	O
?	O

Prenons	O
un	O
autre	O
temps	O
Seigneur	O
pour	O
vous	O
l'	O
apprendre	O
Un	O
devoir	O
si	O
pressant	O
...	O
Je	O
ne	O
vous	O
quitte	O
point	O
À	O
moins	O
...	O
Faut-il	O
Seigneur	O
m'	O
expliquer	O
sur	O
ce	O
pont	O
!	O

Hélas	O
je	O
le	O
vois	O
bien	O
,	O
vous	O
en	O
aimez	O
un	O
autre	O
.	O

Oui	O
Seigneur	O
;	O

et	O
ce	O
n'	O
est	O
ma	O
faute	O
ni	O
la	O
vôtre	O
Je	O
plains	O
votre	O
malheur	O
,	O
et	O
ce	O
coeur	O
innocent	O
Vous	O
trahit	O
par	O
l'	O
effort	O
d'	O
un	O
charme	O
tout	O
puissant	O
.	O

Même	O
je	O
vous	O
dirais	O
,	O
si	O
j'	O
osais	O
vous	O
le	O
dire	O
,	O
Que	O
de	O
son	O
premier	O
feu	O
ce	O
coeur	O
encore	O
soupire	O
,	O
Et	O
sent	O
auprès	O
de	O
vous	O
,	O
quand	O
il	O
vous	O
faut	O
quitter	O
...	O
Ah	O
Princesse	O
...	O
Ah	O
Seigneur	O
gardez	O
de	O
vous	O
flatter	O
.	O

Si	O
votre	O
fier	O
rival	O
savait	O
que	O
ma	O
faiblesse	O
Laisse	O
échapper	O
pour	O
vous	O
une	O
ombre	O
de	O
tendresse	O
,	O
Ce	O
reste	O
de	O
pitié	O
vous	O
deviendrait	O
fatal	O
.	O

C'	O
est	O
peu	O
de	O
me	O
trahir	O
,	O
on	O
vante	O
mon	O
rival	O
,	O
On	O
veut	O
que	O
sa	O
puissance	O
étonne	O
ma	O
colère	O
,	O
Quel	O
est	O
donc	O
ce	O
rival	O
!	O

Seigneur	O
c'	O
est	O
un	O
mystère	O
;	O

Les	O
Dieux	O
seuls	O
,	O
et	O
mon	O
coeur	O
ont	O
droit	O
de	O
le	O
savoir	O
.	O

Et	O
vous	O
voulez	O
ainsi	O
flatter	O
mon	O
désespoir	O
.	O

Hélas	O
je	O
le	O
vois	O
bien	O
,	O
ce	O
rival	O
qui	O
se	O
cache	O
,	O
Pour	O
ma	O
honte	O
et	O
la	O
vôtre	O
est	O
un	O
perfide	O
un	O
lâche	O
;	O

Pour	O
vous	O
justifier	O
il	O
paraîtrait	O
au	O
jour	O
,	O
S'	O
il	O
avait	O
mérité	O
l'	O
honneur	O
de	O
votre	O
amour	O
:	O
Mais	O
par	O
un	O
sort	O
fatal	O
qui	O
comble	O
ma	O
disgrâce	O
,	O
Un	O
indigne	O
rival	O
vient	O
de	O
prendre	O
ma	O
place	O
.	O

Tout	O
beau	O
Seigneur	O
,	O
craignez	O
ce	O
dangereux	O
rival	O
.	O

Mais	O
vous	O
vous	O
faites	O
tort	O
en	O
le	O
traitant	O
si	O
mal	O
.	O

Mais	O
vous	O
devez	O
présumer	O
,	O
qu'	O
alors	O
que	O
je	O
vous	O
quitte	O
,	O
Ce	O
n'	O
est	O
pas	O
par	O
l'	O
effort	O
d'	O
un	O
plus	O
faible	O
mérite	O
;	O

Mais	O
sans	O
autre	O
raison	O
croyez-en	O
ma	O
fierté	O
;	O

Nul	O
n'	O
a	O
droit	O
sur	O
ce	O
coeur	O
,	O
s'	O
il	O
ne	O
l'	O
a	O
mérité	O
,	O
Et	O
puisque	O
ma	O
raison	O
me	O
donne	O
au	O
plus	O
aimable	O
,	O
Jugez	O
de	O
ce	O
qu'	O
il	O
vaut	O
,	O
s'	O
il	O
vous	O
est	O
préférable	O
:	O
Blâmez	O
si	O
vous	O
voulez	O
mon	O
coeur	O
de	O
trahison	O
,	O
Mais	O
faites	O
sur	O
ce	O
choix	O
justice	O
à	O
ma	O
raison	O
.	O

Quel	O
qu'	O
il	O
soit	O
,	O
ce	O
rival	O
triomphe	O
dans	O
votre	O
âme	O
,	O
C'	O
est	O
là	O
qu'	O
il	O
peut	O
braver	O
mon	O
courroux	O
et	O
ma	O
flamme	O
:	O
Mais	O
nous	O
le	O
connaîtrons	O
ce	O
rival	O
si	O
charmant	O
.	O

Cependant	O
dites-lui	O
que	O
je	O
suis	O
votre	O
amant	O
,	O
Et	O
qu'	O
on	O
enlève	O
point	O
,	O
sans	O
coûter	O
bien	O
des	O
têtes	O
,	O
À	O
des	O
gens	O
comme	O
nous	O
de	O
semblables	O
conquêtes	O
.	O

Quand	O
vous	O
le	O
connaîtrez	O
vous	O
perdrez	O
ce	O
courroux	O
:	O
Il	O
sied	O
mal	O
avec	O
lui	O
de	O
faire	O
le	O
jaloux	O
,	O
Et	O
si	O
vous	O
me	O
croyez	O
,	O
sachant	O
ce	O
qu'	O
il	O
faut	O
craindre	O
,	O
Vous	O
vous	O
plaindrez	O
fort	O
bas	O
,	O
si	O
vous	O
osez	O
vous	O
plaindre	O
.	O

Peut-être	O
j'	O
en	O
dis	O
trop	O
et	O
plus	O
que	O
je	O
ne	O
veux	O
,	O
Quand	O
il	O
faut	O
consoler	O
un	O
amant	O
malheureux	O
:	O
Mais	O
comme	O
votre	O
amour	O
attend	O
tout	O
de	O
mon	O
père	O
,	O
Je	O
crains	O
que	O
vous	O
fassiez	O
un	O
éclat	O
téméraire	O
,	O
Et	O
qu'	O
un	O
rival	O
qui	O
peut	O
du	O
moindre	O
de	O
ses	O
coups	O
...	O
Le	O
Roi	O
vient	O
:	O
échappons	O
à	O
son	O
premier	O
courroux	O
.	O

Toi	O
demeure	O
;	O

je	O
cours	O
où	O
mon	O
amour	O
m'	O
appelle	O
.	O

Vous	O
me	O
voyez	O
frappé	O
d'	O
une	O
atteinte	O
mortelle	O
,	O
Seigneur	O
,	O
on	O
me	O
trahit	O
;	O

je	O
viens	O
de	O
tout	O
savoir	O
;	O

Un	O
rival	O
en	O
secret	O
m'	O
ôte	O
tout	O
mon	O
espoir	O
.	O

Ah	O
!	O

Prince	O
ce	O
soupçon	O
marque	O
trop	O
de	O
faiblesse	O
.	O

Je	O
viens	O
de	O
le	O
savoir	O
,	O
Seigneur	O
,	O
de	O
la	O
Princesse	O
.	O

Quoi	O
vous	O
pourriez	O
avoir	O
un	O
rival	O
dans	O
ma	O
Cour	O
?	O

Ma	O
fille	O
veut	O
sans	O
doute	O
éprouver	O
votre	O
amour	O
,	O
On	O
plutôt	O
l'	O
augmenter	O
par	O
ces	O
fausses	O
alarmes	O
.	O

Hélas	O
c'	O
est	O
bien	O
assez	O
du	O
pouvoir	O
de	O
ses	O
charmes	O
.	O

La	O
fière	O
Sémélé	O
ne	O
fera	O
point	O
de	O
choix	O
Qui	O
puisse	O
être	O
au-dessous	O
des	O
Princes	O
et	O
des	O
Rois	O
.	O

À	O
l'	O
entendre	O
parler	O
du	O
choix	O
qu'	O
elle	O
se	O
donne	O
,	O
Son	O
mérite	O
est	O
d'	O
un	O
prix	O
plus	O
haut	O
que	O
la	O
Couronne	O
.	O

Il	O
faut	O
donc	O
que	O
ma	O
cour	O
à	O
mes	O
yeux	O
abusés	O
Cache	O
sous	O
des	O
sujets	O
des	O
Héros	O
déguisés	O
.	O

Mais	O
en	O
fut-il	O
quelqu'	O
un	O
caché	O
dans	O
cet	O
Empire	O
,	O
Voudrait-il	O
traverser	O
l'	O
hymen	O
que	O
je	O
désire	O
?	O

On	O
sait	O
,	O
pour	O
faire	O
à	O
Thèbes	B-LOC
un	O
solide	O
repos	O
,	O
Que	O
voulant	O
allier	O
ce	O
trône	O
avec	O
Argos	B-LOC
,	O
Il	O
faut	O
qu'	O
avecque	O
vous	O
,	O
par	O
un	O
Hymen	O
fidèle	O
,	O
Sémélé	O
nous	O
assure	O
une	O
paix	O
immortelle	O
:	O
Un	O
si	O
grand	O
intérêt	O
ne	O
peut	O
être	O
ignoré	O
.	O

Cependant	O
mon	O
malheur	O
,	O
n'	O
est	O
que	O
trop	O
assuré	O
.	O

Je	O
sais	O
bien	O
que	O
ma	O
fille	O
au	O
moins	O
en	O
apparence	O
,	O
Dans	O
ses	O
premiers	O
désirs	O
marque	O
quelque	O
inconstance	O
;	O

Mais	O
parmi	O
